Country,PopSize
US,328200000.0
Italy,60360000.0
Spain,46940000.0
France,66990000.0
United Kingdom,66650000.0
Belgium,11460000.0
Germany,83020000.0
Netherlands,17280000.0
Brazil,210140000.0
Turkey,82000000.0
Switzerland,8570000.0
Sweden,10230000.0
Portugal,10280000.0
Ireland,6570000.0
Mexico,126200000.0
India,1353000000.0
Austria,8859000.0
Romania,19410000.0
Denmark,5806000.0
Poland,37970000.0
Russia,144500000.0
Czechia,10650000.0
Hungary,9773000.0
Greece,10720000.0
Serbia,6982000.0
Finland,5518000.0
Luxembourg,600000.0
Slovenia,2081000.0
Bulgaria,7000000.0
Estonia,1328000.0
Croatia,4000000.0
Lithuania,2794000.0
Cyprus,1170000.0
Slovakia,5450000.0
Latvia,1920000.0
Malta,493000.0
Israel,8880000.0
United Arab Emirates,9630000.0
Norway,5370000.0
